Comment,Sentiment,Food,Service,Value,Ambience,Cleanliness,Amenities,Hospitality,Location,Front-Desk,Room
"We had great time and very good staff.Friendly service.we stayed as a family with 2young kids.It was very comfortable.The staff in the Restaurant was brilliant.Food was very nice.my charger wasn't working,the room service guy organised immediately.",1,1,1,3,3,3,3,3,3,3,3
"This is a new property and the teerhing problems were seen across depts. The rooms are huge but dimly lit offering low utility value of all the space. Service standards were way below average, food is also not that great though there was ample variety Veg options were limited. For the same price there are better options in city and better locations...",0,2,2,3,3,3,3,3,3,3,0
"This seems to be new hotel, location is great, they have also got good parking space. Room size in enormous. Breakfast was nice. Concierge services was good, the lady at the concierge really did provide all the help required. Same cannot be said about the reception.",0,3,1,3,3,3,3,3,3,2,1
"Beautiful hotel, one of the best suites i might have ever stayed..worth for the money..they have a awesome bar and the breakfast got lot of good choices..i enjoyed my stay..awesome suites at a very reasonable price through online bookings.",1,3,3,1,3,3,3,3,3,3,1
"Rooms are clean and spacious.

Food is average and choice is standard.

Price wise this hotel is far more expensive as the hotel and amenities are standard.

The only thing that one can say positively is that the rooms are large! Staff are attentive but distant and one does not get the feeling that one is welcome.",0,0,2,2,3,1,3,0,3,3,1
"I stayed for 5 nights during my business visit to Bangalore, India.
Rooms are spacious and clean as you would expect for the price you are paying. Support staff is excellent and always willing to provide their best. Fruit basket on arrival and Spa facilities are not available although it says so while online booking. Hotel information such as swimming pool, Gym was not available in the room. I had to ask reception. Overall, it was good. However, I am sure at this price there are better options available in Bangalore such as Lemon Tree in Electronic City.",1,3,1,1,3,1,1,1,3,3,3
We had a business dinner at this property. The place is very good and an xcellent ambient. Food was also very tasty. They have an xcellent buffet and had good varieties or options to choose food from. Highly recommended place for dinner.,1,1,3,3,1,3,3,3,3,3,3
"Davanam Sarovar Suites is a little away from Central part of Bangalore, but offers an elegant property, complemented by a professional sales and support staff. The property is low on offering any significant pass time alternatives for a business traveler. Quality of food at the restaurant is quite nice. I've been a repeat customer to the Hotel and will continue to be.",1,1,3,3,3,3,3,3,3,3,3
"The rooms are HUGE and can easily accomdate 2 adults and 2 kids with one extra bed. housekeeping is amazing and so is the breakfast buffet. if u feel like, KFC and Mc Donalds are just right behind in Total mall. also try lunch buffet in metro rail restaurant @rs 450 per person,which is also situated in total mall. wifi is very fast. takes about 90 mins to reach from airport in moderate traffic. overall a Bang for ur Buck.",1,1,1,3,3,3,3,3,3,3,3
"The corridors of the Davanam Sarovar Portico are long, dark and a bit gloomy and so are the rooms. The carpets in the aisle were soaked with a leak from the air-conditioning system. However, the location is central for that part of Bangalore but the Madiwala market next door is a bit of a nuisance. I stayed there for 4 days in June on a family trip and found the place very convenient for navigating around the southern suburbs. The food at the in-house restaurant was good though the place was teeming with US company staff carrying out walk-in interviews. The hotel obviously has too many rooms and too much traffic for its staff strength and infrastructure.",0,3,3,3,3,2,3,3,2,3,3
"For the first time I stayed in a Suite Room in a 4 star Category Hotel . Amazingly Beautiful & Luxurious is the words that I can use for the rooms which this Hotel Provides . Earlier I had seen such kind of rooms in Mariott But I never expected such Rooms to be part of Sarovar in their entire Hotel .

My Heartfelt thanks to the sarovar Team for the wonderful maintenance of the rooms & the Hospitality extended to me during my stay for 2 days . Its a Must stay for People visiting Bangalore & Guest who need to be Pampered with the Spacious Room they can imagine

Stay for atleast Once here & I am sure you will be saying the word Thank YOU to the Hotel Management . Food was Good & the service was worth mentioning .

In Restaurent -- Prabhagar & Mohan gave a good service & Anil sir at the Front Desk was very Helpful .

Thanks once again .......",1,3,3,3,3,3,3,3,3,3,1
"Rooms are Very good and excellent extra large rooms. You really get the suites feel.
The only disappointement is hotel website says swimming pool and fruit platter in room on arrival which they dont give neither the pool is in operational. pool is under constructions. Further housekeeping services are not prompt you have to really call them againa and again to remind. rgrds",1,3,2,3,3,3,2,3,3,3,1
Davanam Sarovar Portico Suites provided the best service and facilities that made our stay a memorable one. The location was very apt for shopping and traveling. The complimentary breakfast provided was really good and i would certainly recommend this for my friends and family.,1,1,1,3,3,3,1,3,1,3,3
"Hotel is located at busy junction and part of the Total mall near Silk Board.

Commute from airport take @ 1.15 mins with light traffic.

About stay
> The service is good and they seem willing and enthusiastic to help their customers which is good.
> The rooms are spacious and clean, the washroom are practical and they work as expected.
> Bed is comfortable
> One thing in notice and which was a big positive was that AC is on when you are away hence the rooms dont stink when you walk in or you dont have to sweat once you return from your work. This I think was a big positive.
> Rooms have hathway cable and hence you can pretty much catch on most of your fav. channels.
> Wi-Fi is realiable and speed decent to help you conduct your business effectively
> The food is good
> They take great care when you are their repeat customer which is a very nice gesture, i got updgraded and room had a small kitchen are
> Some rooms have kitchen with hot plate and Microwave, hence those who like to eath their own food or have senstive stomach this is a big positive, you can get ready to eat from the mall next door or buy vegetables from market just outside the hotel


Things that can improve
> No waste bin in room, you have to go to washroom all the way, not sure why ?
> Soap, it would be nice to have automatic dispensers with quality soap used
> Iron and Ironing board in all rooms is a must in business hotels
> Safety latches do not always work (it did not work for 506), this can be a small issue but good to address

Overall an extremely good hotel and VFM and definetely would continue to stay for my future travels as well.",1,3,1,3,3,3,3,3,3,3,1
Its a great property. Had a comfortable stay. staff were friendly and helpful. hotel cabs had very limited service and very expensive too. rooms very clean. don't expect a view from the room. overall good experience.,1,3,2,3,3,3,3,1,3,3,3
We had 2 group stay with this hotel. Staff is very co operati5 & Attentive. Nice lobby. Xellent dining & bar. Big big rooms with little pantry. Having facility of microwave & tea/coffee maker. Good linen. 2 lads. All suit rooms. Felt very secure. Excellent food varieties. In short it was memorable experience.,1,1,3,3,3,3,1,1,3,3,1
Suite Room 631 given to us could have been much better and view was not good with small window pointing at the inside of a mall...No welcome drinks ir fruits in the room were provided.Booking was for 3 adults and one child still extra bed was provided only after strong request and they said that cleartrip had not informed??? Breakfast eas decent.,0,3,2,3,3,3,3,3,3,0,3
"Being located at the busiest location, you can not expect calm. But once you enter the hotel you forget outside world. Calm & soothing environment. Food is excellent. Free Wi-Fi and geam is appealing.",1,3,3,3,3,3,1,3,3,3,3
"Beautiful property , Very large Suites and very beautifully done room . Excellent room service and Food , Very nice location. Almost in the heart of city in Kormangla .Comfortable beds . The wifi is fine. Not very fast nor very slow. Check in took approx. 4-5 min. and checkout almost 3 min.

I would love to stay here again .",1,1,1,3,3,3,3,3,3,3,1
We took 3 rooms and they all were excellent and value for money. Room no. 606 is amazing . Location is also good but a bit congested. Very nice stay and hotel. I would recommend to others. Value for money .,1,3,3,1,3,3,3,3,3,3,3
perhaps expected a lot from the previous feedback Felt more like a service apartment rather than a hotel. had to wait a lot to get the rooms in a same floor. must admit the great buffet breakfast. also liked their buffet dinner too. swimming pool was dirty and not ready for use.,2,2,3,3,3,2,2,3,3,2,3
"1. Value for money
2. Good choices in Menu (especially Veg)
3. in heart of city and thus traffic woes
4. Spacious and well designed
5. Overall worth staying
6. Only issue is location - all other worth visiting places are far away

Good and supportive Staff. Total shopping mall provides quick shopping comfort.",1,1,1,1,3,1,1,3,1,3,1
"My only suggestion - please work on the food menu! The food variety and quality did not live up to the standards of the stay in rooms. Bringing food variety like that of say an example of Chutney Chang in Museum Road should be more beneficial to visitors!

Though I reported that there was no satellite channel/set top box for one of the TV's in my room (606) on day 1 - I was told someone from housekeeping would be sent to check it - but no one followed up. I too forgot about it conveniently. So there needs some improvement here.",1,2,3,3,3,3,2,3,3,3,3
"I was there for 3 nights with my family (Deluxe suite) . The hotel is very good, also the breakfast (While in Bangalore - we had the rest of meals outside). The only issue we found was with car drivers. We have contracted 3 different drivers for 3 days (airport drop last day). It was quite difficult to communicate with them in English. You could generally manage with English in Bangalore , so we felt it was an anomaly that drivers couldn't speak English.",1,1,0,3,3,3,3,3,3,3,3
"A perfect spot for an overdue get-together with 2 of my friends. got a room on the 6th floor, facing the mall. This could be a privacy issue if you are traveling as a couple, but the heavy curtains should take care of it, I guess, if lighting is not a concern.
Good ambiance, well appointed executive suite, responsive staff, quality sleep, and a clean neat and tidy in every aspect. The breakfast menu was repetitive, but was of very good quality & diversity. Stayed for 2 days and nights, and will definitely go again, or recommend to anyone. Located on Hosur Road, as part of the Mall, which makes it close to prominent areas like Forum, and koramangala & HSR, but the entrance to the hotel is on the other side of the mall.
Top Notch... I'll Be Back!! hehe... Keep it up guys! Sarovar has lived up to its name!
Cheers!",1,3,1,3,1,3,3,3,3,3,3
"This hotel is well -kept well -appointed staff . From start to end I had an excellent stay.
The food is also good. Everthing was great. I strongly recommend that you consider davanam sarovar as your place to stay.",1,1,1,3,3,1,3,3,3,3,3
"It's a lovely hotel in koramangla. Being suite hotel the rooms are nice and spacious ... This is above Total Mall so anything that need is a stroll away. In house restaurant excellent and you have a choice of KFC and Mc Donald inside Total Mall. Forum mall is only 10 mins away soo u are well covered on entertainment too.

It's an excellent pick for the price they charge... Highly recommended",1,3,3,3,3,3,3,3,1,3,3
"Some of the qualities I admired most about Davanam Portico Suites Hotel is the excellent and friendly staff. The way they greet you when you arrive make you feel welcome. My room was well kept and spacious.The location was good ,close to the shopping mall and the markets. Affordable prices. They have a great team.Great food.Creative chefs.I truly enjoyed my trip.Make this your next vacation destination. I'm already planning my next vacation.",1,1,1,1,3,3,3,1,1,3,1
"This is the Best Hotel/suites I have stayed in Bangalore. ""Best Value for Money"". The property is very good but what I like about this suite is the Service. Very hospitable, helpful and extremely professional - right from front office guys to GM. I would rate this Suites as ""A+"" and would always stay in this suite when I go back to Bangalore. Also the food was awesome. Excellent variety - best Sushi's in Bangalore to delicious Biryani. Enjoyed my stay..",1,3,3,1,3,3,3,1,3,3,1
"A memorable visit...spacious well kept room. Excellent creative work by chefs, especially the new Japanese cuisine. Great team... and attended to every moment of our stay. a must visit place if you expect to experience hospitality at its true sense.",1,1,3,3,3,3,3,3,3,3,1
"The suites are excellent, every detail in the amenities and the luxury had been attended to. great food. its affordable, had a pleasent stay... would love to visit this property again...affordable luxury pampers you hereâ€",1,1,3,1,3,3,1,3,3,3,3
"the suites are excellent, every detail in the amenities and the luxury had been attended to. great food. Though you cant open the curtains, else you ll face the atrium of the next door total mall ! but no complaints, the suite is too good to mind the windows. its gonna be a regular visit here for me.",1,1,3,3,3,3,1,3,3,3,0
"Spacious suites with well appointed living area and kitchenette...but small and tight bed room ...the window opens to the atrium of the ground floor mall...breakfast buffet was elaborate... efficient House keeping and restaurant staff ...but bad experience while checking out....Front Office kept us waiting for 20 minutes....God knows why...three different persons, including a lady were involved...still such avoidable delay....even though they were alerted earlier to keep the bills ready...obviously they were new and lacked expertise in check out process.... communication was also poor.... not expected from a Sarovar hotel.",2,1,2,3,3,3,3,3,3,2,0
"The hotel is very close to Silk Board and thus very convenient for business travelers. The suite we booked was spacious with a big living room and kitchenette, however, the room was really small. The bed was crammed in a corner such that one needed to climb the bed to go to the far end side, with the TV sticking out in between! Internet, TV, aircon, hot water, etc worked well.

Breakfast is mostly an Indian spread, and not suitable for visitors from abroad. The waiters are most helpful but the food was mostly luke-warm/cold. The front desk really needs improvement. Check-in as well as check-out takes a long time. If you do not check your bills, chances are you will be charged for things you have already paid for. The front desk staff need training in hospitality, they never smile or greet and are almost unhelpful. They look confused when asked simple questions.

To sum, it can be a good hotel for its spacious rooms and location if staff present themselves better.",2,0,3,3,3,3,2,3,1,2,2
"Arrived at an odd hour (3:00 AM); once I was able to find the reception on the 4th floor it went smooth. The suites are very spacious and well equipped which make your stay comfortable.

The A/C was working very good kept the room nice and cold. As others have mentioned, the rooms are a little dark & challenging to understand the lighting system since there are numerous switches. My main observation in regards to the rooms is, if you have two TVs both should be functioning with cable service. Out of the two TVs in my room only one was working, the TV which was in front of my bed didn't have a signal.. I was told that I could request in reception for them to bring up a second cable box, that the practice was to have only one. Then why have two TVs??

I found that the breakfast buffet was limited and what I did try my first day was not so tasty, to the point that I skipped it for the rest of my stay. Unfortunately for the dinner service I cant say much as the hotel restaurant had a private event and was fully booked. Had to have dinner at the mall next door.

As I had an early flight, the night before my checking out I had asked the reception to have my bill ready early in the morning to assure no delays; even though they had confirmed that it would be ready at the agreed time; when I went down to check-out I had to wait approximately 20 minutes to have my bill for food & drinks as the room was pre-paid.

If possible, arrange your own airport transfer to the hotel, the service provided to me was below standard, the car was not the greatest, the driver didn't speak a word of English and what made it worst was the price almost double; so if you are going to get bad service and dodgy car better get it on your own for half the price..",2,0,2,3,3,3,3,3,3,3,2
"My family and I had two rooms at Davanam for three days. Although we had a rocky start, our stay was very comfortable. While checking in, the receptionist questioned my Indian visa stamped on my U.S. passport. He retained my passport to show it to his supervisor. Who knew that a hotel receptionist would double as an Indian immigration agent! I was ready to storm out, however, as we were late for an outside function, we checked in. Except for this initial problem, everything else was very good. One of our rooms was upgraded. Suites are modern, spacious, clean, and practical. Lighting was a bit too dim. The almost transparent glass door from the bathroom to the dressing area creates somewhat of a privacy issue, especially if you are sharing the bedroom with a non-spouse. The fourth floor reception was different from the usual. Parking was rather difficult. On the positive side, the restaurant was excellent. The breakfast buffet was elaborate. The service was excellent. Overall, I would recommend this hotel.

Message to the hotel - Trust the Indian immigration officers to do their jobs! You are not immigration! Do not make your guests feel unwelcome by questioning their visas.",1,3,3,3,3,3,3,3,3,2,3
"I arrived at this hotel on 25th June evening, and checked out on 27th June morning.

The hotel reception is on the 4th floor. The hotel is part of the Total Superstore mall at Madiwala in Bangalore.

Check in: The check in was very efficient. I was allocated a room on the 5th floor (532). The bell boy escorted me to the room. The corridor leading to the room was well carpeted and hence very quite.

The Suite: The suite is like a studio apartment. At the entry, there is a kitchenette with a couple of chairs for dining. There is also a sofa set for relaxing. The bedroom has a large bed. My only grouse is the lighting in the dressing area. It is too dark and the lights are not placed over the dressing mirror to see anything. Also the dÃ©cor is very dark and so there is no brightness. You have to invariably open the curtain to light up the room, but that window overlooks the upper floors of the mall. Not a very good idea!

Breakfast/Dinner: It is served in the restaurant on the 4th floor. The spread is good with couple of continental dishes, a few Indian dishes and the usual stuff.

Business Services: I was conducting a workshop there for 2 days, and the only complaint I have is that the power supply kept going off on day 2 repeatedly. I asked for UPS power to the projector but it was provided only at 4 PM on day 2, just 2 hrs before closing.

Special Mention: Mr. Prasoon who was assigned to us as the coordinator took very good care of all our requirements. The breaks happened at the stipulated time. During lunch also, he was there to ensure our needs were taken care of! Good job done, Prasoon!

Overall Impression: Very good suite, good business services, if only they could get the lighting in the bedroom arranged, it would be 5 stars!",1,3,1,3,3,3,3,3,3,3,3
"This is my regular hotel on trips to Bangalore. Beautiful rooms and quality service. Food is good as well.
The entrance and lobby are a let down but only hides the better parts.
Especially want to congratulate Sarovar on the good service, this is the third sarovar property I have been to and it has consistently been good",1,1,1,3,1,3,3,3,3,3,1
"I stayed here on two separate occasions and found the experience very satisfying.Rooms are spacious and clean.The reception was manned by very efficient lady who seemed to be over worked. The WIFI was very good . The breakfast buffet spread was excellent. The lunch buffet albeit being on the costlier side was good. The management needs to improve the following two aspects to make the stay more memorable:

1. The 4 veg and 3 non veg dishes which are prepared and served fresh in the buffet needs to be served quickly and the guests should be briefed about this or the same should be mentioned in the menu card.On the two occasions I and my son opted for the buffet we missed these accompaniments.The waiters themselves were complaining of the delay by the kitchen.

2. More efficient coordination between the front desk and the car rental manager.",1,1,3,3,3,1,1,3,3,3,1
"This is one of the finest hospitality hotel, With excellent staff at front & Restaurant. I spend 4 days happily. The fast and excellent service amazing... All staffs strive for service,, Enjoyed the food and wifi which is a best in this property. Next to Total mall so you can enjoy any other food you need, Rooms are like 1BHK flat and you can take your family and the living will be magnanimous, Enjoy this hotel have a cab to go into city and this hotel is on 4th floor,the GYM is good and the Swimming pool to be done which is on roof top _Rest all the best stay guranteed",1,1,1,3,3,3,3,1,3,1,3
"We stayed here for four days. we had taken two suites for our family of four.The suites are beautiful, very spacious, luxurious, centrally airconditioned, free highspeed WIFI. we thoroughly enjoyed our stay. The complimentary breakfast was sumptuous and complete.The restaurant food specially the buffet is excellent.Eventhough the prices are on the higher side its worth eating at the restaurant. Hotel is at a convenient place, surrounded by form malls and shopping places. Overall this hotel is highly recommended. Ms. Asfiya the Front Office manager is very helpful. Tremendous experience at this place, Will look forward to the same.",1,1,3,3,3,3,1,3,3,3,1
"Excellent rooms, excellent service , well connected ... exotic buffet menu and the best part of the hotel is that I can cook in the room .Rooms could be a little brighter.Buffet spread for breakfast is fantastic , they also offer japanese food .Overall a good place to stay ..",1,1,1,3,3,3,3,3,3,3,1
"Excellent stay overall and great food!

But the parking procedure is very bad and upsetting. Since the hotel has a common basement parking with the Total Mall, the ticket issuers in the basement are being rude to the guests. No parking pass was issued to me by Davanam during my check in. While going out, I was directed towards the backside exit where I was asked to pay for the parking. Later, when I enquired, the concierge said that I could just park for free and made no mention of any hotel pass. However, the ticket issuers in the basement blocked my car even the next day and questioned me on why my car was parked overnight without any pass or parking ticket. This lack of coordination between the hotel and the basement parking attendants has to be looked into seriously.",1,3,3,3,3,3,0,3,3,3,3
"We stayed here for four days. we had taken two suites for our family of four.The suites are beautiful, very spacious, luxurious, centrally airconditioned, free highspeed WIFI. we thoroughly enjoyed our stay.Mr Ather at the reception desk was very helpful in booking the rooms and was instrumental in providing a free late checkout.
The complimentary breakfast was sumptuous and complete.The restaurant food specially the buffet is excellent.Eventhough the prices are on the higher side its worth eating at the restaurant.
Hotel is at a convenient place, surrounded by malls and shopping places
As for transport to and fro , one would easily get frustrated by the deceiving Auto drivers and Taxidrivers.
Overall this hotel is highly recommended",1,1,3,3,3,3,3,3,3,1,1
"I recently stayed for a few days and I can recommend
this property in every aspect.
The hotel has very good rooms and the service is
very prompt and the breakfast is of good quality.
The wi fi is also good.",1,1,1,3,3,3,1,3,3,3,1
"Davanam is a little known hotel in Bangalore. It is in the vicinity of Koramangala (Total Mall Building on Hosur Road). the good point of the hotel is the large suite rooms. very spacious and good rooms. it has a refrigerator (large and not a mini bar) which helps keep the drinks etc very cool. The Hotel has a good buffet breakfast and a good business center. Overall a perfect business hotel if you have work in Koramangala, HSR, Hosur road, JP nagar, Jayanagar etc. Even Electonic city and Sarjapur road are 15-20 mins away due to the flyovers connectvity. Overall great value for money.",1,3,3,3,3,3,3,3,3,3,1
"it was first time i have seen such a wonderful hotel. fantastic rooms, superb location decent staff and quality food. i had stayed in the hotel for 3 days and i was happy on my decision choosing this hotel. i would like to suggest that minibar needs to be stocked with more items as it is a big fridge and Pool area should be used for dinners as it gives you fantastic view.",1,1,1,3,3,3,3,3,3,3,1
The bill should be checked thoroughly as there is Too much of cheating which cannot be forgiven. They made us wait for an hour searching for the wrong Bill and they failed in it. 5k extra by repeating the same bill in a different time. Other than that it was above par in every perspective.,2,3,3,2,3,3,3,3,3,2,3
"If you're a Couple i recommend you to choose it. Excellent spacious room with excellent WIFI ,A/C and other stuffs. Well if you're a foodie its a special treat for you with the complimentary breakfast. It was just delicious. The quality of service was a bit slow you have to care for your patience. Overall i must say I found it to be the best hotel to stay in Bangalore.",1,1,0,3,3,3,1,3,3,3,3
"I got to stay at Davanam Sarovar Portico Suites during my previous business visit to Bangalore

and I should say it was an absolutely great experience staying there. The levels of hospitality

that the hotel staff rendered was amazing- right from the junior-most staff to the senior-
most- itâ€™s totally incomparable; in fact, I was greatly surprised to get such warm hospitality

and excellent amenities at such reasonable prices. Great rooms, great food and great facility!

The rooms were spacious and tech savvy. I would love to stay there during all my subsequent
business trips to Bangalore.",1,3,3,3,3,3,3,1,3,3,3
"I stayed at Davanam Sarovar Portico Suites for 4 days along with my family. The room service

was quite fast enough and prompt and other staffs were really helpful.

The complimentary breakfast was delicious and we enjoyed having dinner too. The room was

quite spacious. The quality of service and hospitality was good. I feel itâ€™s the best place to stay

with family and chill out.

Situated in a central location, Davanam offers fast Wi-Fi, Indian-cum Italian food, and other

basic amenities, like hair dryer, coffee maker, etc.",1,1,1,3,3,3,3,1,3,3,3
"From the beginning to the end, this was undoubtedly the best hotel stay and service that I

ever experienced in my lifetime. The check-in was excellently smooth and the staff service

was great at each and every level thereafter. Service across all the departments of the hotel

was excellent, from front office to housekeeping, from concierge to restaurant. The rooms

and lobbies were spacious and neatly maintained. Such attention to every minute aspect

of the hotel customers cannot be achieved without a good management- so I would like to

congratulate the entire Davanam team! You can count on me as a loyal Davanam customer

during all my Bangalore visits!",1,1,1,3,3,3,3,3,3,1,1
"A delightful business tour to remember

I am a marketing manager staying at Delhi and I need to travel across the country for client

meetings. In such conditions, I always expect a comfortable stay so as to concentrate on my

professional activity. In my last tour to Bangalore, I was bit confused to choose a location to

book the hotel for stay, thereafter one of my colleagues proposed Davanam Sarovar Portico

Suites.

When I reached the hotel, I found that the exterior was not so much fascinating but the

location was pretty good. After stepping in, the royal and courteous hospitality overwhelmed

me. The rooms were also spacious and well polished. The staff was very humble and

cooperative. The hotel was ideal for business meetings, even my clients appreciated it. I stayed

there for week and enjoyed a lot. Thanks Davanam for a great service!",1,3,1,3,1,3,3,1,3,3,1
"I work as a professional news channel camera man and usually visit Bangalore to capture events. This time, our team booked a suite at Davanam. We stayed there for 15 days and usually my team used to retreat late due to work load and the late night service at Davanam was excellent. The restaurant at the hotel also serves late night and quality of the food was also impressive.

Rooms are very clean and comfortable. We enjoyed very good sleep. The hotel is well equipped with optimum amenity and the room service was also excellent. Only once the fluctuating WI-FI worried us, but it was sorted out immediately by the hotel staff. Really, the experience was recommendable and great with Davanam.",1,1,1,3,3,1,0,3,3,3,1
"The rooms are of considerably good size and well-equipped.

Here is a list of all the positive things:

1) Decent, neat and clean rooms

2) Large and clean bathroom

3) People at reception are polite and well-behaved

4) There is no sort of language barrier as every member of the crew speak neat English

5) Very close to major attractions in Bangalore and also to the cityâ€™s IT center.

6) Free Wi-Fi with a decent speed

Few negative things:

1) Services by the in-house restaurant are a bit slow

2) Close proximity to the main road that makes it a little noisy inside",1,3,1,3,3,1,3,3,1,1,1
"I am a business owner based in Bangalore. Recently, I had to arrange accommodation for one

of my clientsâ€™ stay in the city and was looking out for a decent hotel located in the city centre.

When browsing through reviews of business hotels, I came across a couple of good reviews for

Davanam Sarovar Portico Suites in Madivala and the prices also seemed to be reasonable. I

went ahead and made the reservations.

Before departure, my clients were full of praise for booking such a great hotel. They seemed

to have experienced a pleasant stay and my business meetings were also held in the same

premises without hassles of any kind. Davanam definitely has every amenity that a business

person would need. Iâ€™m glad to have discovered such a good hotel at quite reasonable prices.

Iâ€™ve decided all my business meets and client stays would be arranged at Davanam hereon.",1,3,3,1,3,3,1,3,3,3,3
"Last week, I had to go on a business trip to Bangalore and personal circumstances required my wife also to accompany me. So, I had to find a good business hotel for my client meet and at the same time it had to be a good place for staying with family as well. This is when one of my acquaintances from Bangalore recommended Davanam Sarovar Portico Suites. I took his word and booked a deluxe suite.
Frankly, I never repented a moment of my stay here. Before checking in, I was skeptical about how my wife would spend her time when I was busy with my business meeting. But, the shopping mall located just beside the hotel kept her occupied during our stay. As for the service, I never expected such good service and amenities at such a reasonable cost. The room was sparkling clean and the whole ambience looked hygienic.
I look forward to stay at Davanam during all my subsequent visits, irrespective of whether it would be a business trip or family vacation!",1,3,1,1,3,3,1,3,1,3,3
"I was referred to Sarovar Porticos Suits, Bangalore by a trusted business associate. When I was planning a visit to the city with family, I was apprehensive since I was taking my family on vacation to Bangalore for the first time. Being from Dubai, my fussy kids are used to luxury; and a spic and span life style. Loo and behold, to my relief, we found just that here. The food was great and the waiters were kind as to modify certain dishes to our taste. Weâ€™re thankful for the wonderful stay!",1,1,1,3,3,3,3,3,3,3,3
"I stayed at DavanamSarovar a few weeks back on a business trip to Bangalore. At first look, from the outside, I must admit, I didnâ€™t think it would be a match to the best of 5 star hotels in the city but was pleasantly surprised when I entered the lounge area. The reception desk attendants were polite and helpful. The rooms were spacious and had a lovely view from the 5th floor of the freeway and greenery that Bangalore is known for. I would sure recommend this hotel to my friends and business associates. Kudos! Keep it up!",1,3,3,3,3,3,3,3,3,1,1
"I was on a hunt for the best family hotel in Bangalore for my relatives; they had planned their stay for ten days and were looking for the best possible option. I came across Davanam Sarovar Portico Suites and recommended them the same!
They were full of praise after their tour; they thanked me million times for suggesting this reasonably priced, well-equipped hotel. Itâ€™s worth to stay in this luxurious place. I was in a dilemma, before suggesting and but after getting their feedback, I donâ€™t give a second thought if Iâ€™ve to suggest to any of my friends and family or myself ;-)",1,3,3,1,3,3,3,3,3,3,3
"I stayed in Davanam Sarovar Portico Suites for around 3 days during my business trip. The hotel had all the amenities that I indeed wanted.
Since I prefer homely food, I didnâ€™t find the menu here so attracting, but it was delicious, though I had to wait for a long time, after placing my order. The wireless connectivity worked in my favor, so I had the chance to go and work in the spacious lobby for a while.
I didnâ€™t find any difficultly in terms of transportation, as the hotel management had arranged me a taxi (cab) service that arrived and dropped me on time.",1,1,1,3,3,3,1,3,3,1,3
"During my recent official visit to Bangalore, I happened to stay at Davanam Sarovar Portico Suites. My stay at the place was very pleasant with negligible hitches. The lounge and the rooms were elegantly decorated with fully contemporary interiors. Davanam was recommended by a colleague who has stayed here several times before and I should say I was also totally impressed with the place and I plan to reserve accommodation here during my next visit to Bangalore with family.
The check-in was quick, efficient and friendly. The staff was second to none with respect to courteous service and customer focus. The room was clean and comfortable with all modern amenities. The in-house Tangerine restaurant offers a delicious range of local and international cuisine; the bar also serves a variety of drinks and cocktails with light snacks.
On the flipside, the hotelâ€™s location at the market place doesnâ€™t make it an ideal location.
Overall, I would recommend it to others too!",1,1,1,3,1,1,1,1,2,1,1
"Whenever I go to Bangalore, Davanam Sarovar has been the place I choose to stay. This time, I stayed with my whole family on our holiday to the garden city. Once again, I should admit that the hotel and service was wonderful. Everything from the welcoming attitude of the staff at the front desk and comfortable room to the cuisine at the restaurant and all other modern facilities, the place made our stay a pleasant one.

The mall right next to Davanam drove our boredom away when we had no outing plans. Except for the buzz of the market place near the hotel, thereâ€™s nothing to crib about. I would rate it 4.5 stars out of 5.",1,3,1,3,3,3,3,1,3,1,1
"From outside, the property might not appear appealing. So when I first entered the rooms I was greatly surprised. They are spacious, and very well maintained. Even the restaurants near the reception offer nice food. A nice place to stay in Bangalore.",1,1,3,3,3,1,3,3,3,3,3
"I really enjoyed this property! The idea of the hotel is adorable, stayed on the 5th floor, spacious suite room and was the perfect amount of space for a business traveler. Didn't really use the kitchenette, but it was great to have the fridge and probably would have used it if I was there longer. I stayed only 5 nights. Air conditioning in room worked great.
I did not rent a car and didn't need one.
There is a shopping mall just a couple of blocks down to go get food and drinks. Lots of food choices within walking distance.
Front desk staff was great. All the staff we encountered were great. No problems at all.

I would definitely stay here again.",1,3,1,3,3,3,3,3,3,1,3
"I chose this hotel for my stay as it was closer to my relative's place. Currently, only few floors are functional. However, the size and quality of the rooms takes you by surprise. It is amazingly spacious with a full fledged sofa and all other luxuries in your suite. The staff is humble and polite. It has a big restaurant with tasty food all the way. The location is just awesome, with close proximity to The Forum and Total Malls. Add to it the value for money preposition and it becomes a deal, too good to resist.",1,3,3,3,3,3,3,1,3,3,1
"We were staying in room 615. there were only two points i noticed which were average in hotel. 1) Low light on laptop table, hence requested for Lamp(which was provided instantly). 2) Absence of Remote for AC.
Rest the stay for 3 nights was wonderful.. Excellent hospitality, food, service.. House keeping staff was very supportive. Location is right inside the Total Mall and is well connected to city.. in all an excellent business hotel..",1,1,1,3,3,3,1,1,3,3,2
"With elegant rooms of modern interior, tastefully decorated furniture and colorful tones, Davanam Sarovar Portico Suites is probably one of the best choices for both personal and official ravels. I had been here with my friends and enjoyed the whole stay.

All rooms are quite spacious and are being offered with basic amenities, including microwave, attached bathroom with modern shower facilities, flat-screen TV. Our evenings were well spent with some snacks and international cocktails at the Gallop Bar, which I especially enjoyed for its ambiance.

The only that put me off was the time taken by staffs to bring the food to our suite. But the delicious food and wide range of food choices compensated for the same. If this point is ruled out, I would easily give it a 5 star rating for its comfort, amenities and nice location and nice stay.",1,1,2,3,3,3,3,3,3,3,1
